XLB,XLE,XLF,XLI,XLK,XLP,XLU,XLV,XLY
2020-06-10,-0.01132150591249459,-0.04922393737278763,-0.03744751612377817,-0.02392800619808666,0.01669929616906507,-0.002806752622171116,-0.005847077920664523,-0.0015558685615142398,-0.009379178356662132
2020-06-11,-0.07725159101177637,-0.09421628404264515,-0.0817784775049184,-0.07023824565687131,-0.05734315489613606,-0.03791381268720262,-0.03904587498143808,-0.05560971537298676,-0.0523782682803815
2020-06-12,0.019447934481795492,0.025231483447035963,0.030263750514537113,0.019404567124075456,0.012940619958689448,0.00017205279632359627,-0.0025501967798203795,0.006496939802596469,0.009910449743915972
2020-06-15,0.010537718673120144,0.003013617993997242,0.013847982013670324,0.009880936282834485,0.00965705860190802,0.011527982912632018,0.006817866974131892,0.0022540571082330096,0.009494288677764251
2020-06-16,0.02085587598343297,0.02879323736091033,0.01572854580611227,0.019568294310428724,0.021321157799755408,0.015648771266843164,0.004570873088807881,0.024637128471127978,0.02102262599253968
2020-06-17,-0.008277596915882035,-0.0340715709322591,-0.015077393575345654,-0.007197518070067854,-0.00019523611842631183,-0.0015072447095244579,-0.003033405656281629,-0.000997778409986827,-0.002631601190425825
2020-06-18,0.0007103842989115705,0.012345666502033392,-0.0012412643591498407,-0.0036957818807998866,0.004488224707492883,0.005199603660595686,-0.0001689649610244759,-0.0033954323713315526,-0.0036477459453359007
2020-06-19,-0.0030168347509766935,-0.015181726474074564,-0.006628061844363375,-0.012269821993279528,-0.006896507842878208,-0.005172707631062035,-0.02806431855863989,0.009620067975351532,-0.007789475298337067
2020-06-22,0.00370483061035376,0.0046327894362643285,-0.00495205500773388,0.0016830341937883464,0.018840934196289183,-0.0028566714316219377,0.009751979829617952,-0.0038374255384278078,0.01027663526870426
2020-06-23,0.002318085661845659,0.0010192080346858035,0.0046393546626462,0.00014481262408527762,0.007219849366312925,-0.0015256497514958278,-0.010074634111695957,0.00430251533388426,0.007866558087139097
2020-06-24,-0.02917626459749112,-0.05548492508605274,-0.0352645065644811,-0.034757482913243876,-0.022555680758387875,-0.016808186379192458,-0.009124501764739334,-0.026103432233854806,-0.022024614654175045
2020-06-25,0.012460983449220864,0.019132415982084483,0.02654488161901747,0.011102835346427531,0.012809236934512302,0.0070799573103821345,-0.012395942207278465,0.009821017997053927,0.0013433719758140228
2020-06-26,-0.013755643538404083,-0.034637941309755615,-0.04281481942441845,-0.018548790525218073,-0.019694862516887124,-0.02040465083762355,-0.010579231035308112,-0.012156860016158455,-0.023437482026331558
2020-06-29,0.01945317109709932,0.01342115301012825,0.011071795388610361,0.03280930067095689,0.010931567784711937,0.018904190150407674,0.018847534423289014,0.009024711558127452,0.018989843581836086
2020-06-30,0.014401352649241028,0.022972911623981407,0.013578506010597069,0.005709176014820239,0.017924988603112535,0.007387067795847857,0.0037353052118151986,0.017074927281360175,0.012767634575056697
2020-07-01,0.002129603360687682,-0.024306437855593832,-0.008642881473812647,-0.004512419512517241,0.001627006378871254,0.0008526642373829496,0.023391745619459448,0.007694562147437356,0.010101129034525425
2020-07-02,0.018770949644136392,0.01110214925712727,0.0013077179334308742,0.008627067725318627,0.005828352336132214,0.0051116269228259625,0.0025975337542318844,0.007536692305090131,0.003953396147731381
2020-07-06,0.014253516028204682,0.002945924561530422,0.01915534791298068,0.014351939973951344,0.017478864407847627,0.004916070467567923,-0.012262621587193712,0.010137786968825724,0.02370480966689059
2020-07-07,0.00034265770192631884,-0.03177588981536261,-0.020503907056278914,-0.019151054200478912,-0.0104565184822496,0.00910931433149309,-0.0040217028004077005,-0.008671949726380301,-0.015688642741094938
2020-07-08,-0.014219565368079445,-0.0008272747015256599,0.010466474418405092,0.0,0.016322301390404137,-0.002507534113741272,0.00895369196277307,9.839058193517047e-05,0.010651314056738581
2020-07-09,-0.009384752956146047,-0.04940663439662685,-0.021147925900930842,-0.021710594054998755,0.0036205390805541526,-0.007876639135463104,-0.01339831315467288,-0.007862507645000183,-0.0011373328219058676
