Date,SPY,XLB,XLE,XLF,XLI,XLK,XLP,XLU,XLV,XLY
2019-01-02,240.2426300048828,48.457275390625,50.829410552978516,22.83946990966797,61.97947311401367,60.28473663330078,47.528236389160156,48.323509216308594,81.58494567871094,97.1815414428711
2019-01-03,234.509765625,47.0831413269043,50.32528305053711,22.326007843017578,60.09347915649414,57.242313385009766,47.25519561767578,48.3142204284668,79.92835998535156,95.07737731933594
2019-01-04,242.3648681640625,48.93440246582031,52.03756332397461,23.067672729492188,62.37199401855469,59.77928161621094,48.262630462646484,49.02964401245117,82.31270599365234,98.22388458251953
2019-01-07,244.27581787109375,49.10617446899414,52.811126708984375,23.096200942993164,62.879398345947266,60.31389236450195,48.196720123291016,48.695159912109375,82.62870025634766,100.44493865966797
2019-01-08,246.57086181640625,49.6214714050293,53.21963882446289,23.115215301513672,63.74101638793945,60.81935119628906,48.63923645019531,49.29908752441406,83.27027130126953,101.55548095703125
2019-01-09,247.72320556640625,49.64055252075195,54.062744140625,23.229318618774414,64.17182159423828,61.606689453125,48.18730163574219,49.00177001953125,83.64373016357422,102.07178497314453
2019-01-10,248.59706115722656,50.07950973510742,54.21919250488281,23.23882484436035,65.04301452636719,61.87885284423828,48.469757080078125,49.64285659790039,83.80651092529297,101.779541015625
2019-01-11,248.693115234375,49.87911605834961,53.8975944519043,23.295879364013672,64.97601318359375,61.762210845947266,48.610992431640625,49.457035064697266,84.0842056274414,101.87696075439453
2019-01-14,247.17587280273438,49.49741744995117,53.76721954345703,23.457523345947266,64.9664306640625,61.18871307373047,48.3756103515625,48.34209442138672,83.15535736083984,101.25350189208984
2019-01-15,250.00869750976562,49.17296600341797,53.95844268798828,23.666709899902344,64.76538848876953,62.11213684082031,48.85578918457031,48.93673324584961,84.649169921875,102.1692123413086
2019-01-16,250.61363220214844,49.36381912231445,53.88889694213867,24.17066192626953,64.83240509033203,62.17045211791992,48.5921630859375,49.11326217651367,84.49596405029297,101.9354019165039
2019-01-17,252.51499938964844,50.23219680786133,54.38433074951172,24.30377960205078,65.94293975830078,62.56898880004883,48.79929733276367,49.31766891479492,85.24285888671875,102.62704467773438
